orgnr_frtk,yrkeskode,antall_stillinger
994151010,5311,6
994151010,2342,14
999286976,5311,2
999286976,2342,1
918837221,4223,2
919996013,1349,1
919996013,2166,8
919996013,3432,1
919996013,3514,1
919996013,2433,1
919996013,2511,1
919996013,7322,2
919996013,7115,1
913193911,1120,2
913193911,4132,2
913193911,2641,1
913193911,2166,1
913193911,3322,1
991516891,8332,1
996706508,7411,2
996706508,1221,1
996706508,5153,2
912595625,5311,10
991937099,3122,2
991937099,7231,2
991937099,9122,3
991937099,5223,2
991937099,4322,2
991937099,3115,3
991937099,3313,1
991937099,4311,1
980292738,3322,2
980292738,3118,2
980292738,7115,4
998581311,2611,4
999529852,3313,1
917994714,2342,13
917994714,1341,2
990702438,5311,8
990702438,2342,17
978609996,5411,1
978609996,4223,4
913067061,7122,24
917104379,7115,4
998214637,5223,1
998214637,2411,1
911593564,7115,1
914597919,3122,1
987428317,5223,11
987428317,2431,11
987428317,1221,2
987428317,3322,22
987428317,5244,18
976491351,1330,1
976491351,2511,1
976491351,0,35
913556194,3343,1
992408766,5141,2
920941168,5131,2
992467061,7126,18
912237664,2166,1
912237664,2120,2
912237664,2511,4
913168038,3313,1
911801663,3322,1
995251094,3511,1
995251094,3513,2
999577547,1411,1
898304302,3412,1
987704918,3322,2
983569285,5311,4
995672197,9112,3
918488081,7233,2
918488081,7215,2
955497643,1120,1
955497643,7119,4
955497643,1349,1
955497643,3123,1
955497643,3112,2
955497643,4321,2
955497643,1323,1
955497643,2142,1
955497643,7422,1
955497643,7115,5
985233632,7411,8
985233632,3113,1
985233632,4321,1
985233632,4322,1
919871466,6113,3
986463828,8342,4
986463828,3112,1
986463828,6113,7
986463828,8332,2
820210042,4222,1
820210042,2431,1
820210042,1221,1
820210042,3322,1
820210042,1420,2
990993718,6113,2
993231223,2211,3
993231223,3256,1
912593339,7131,4
918321659,4321,30
918321659,1324,1
912686310,1222,1
912686310,3313,1
878703812,3313,1
981580435,1120,1
979193734,3422,2
978658814,3422,1
986591060,5329,1
975339793,7126,4
975339793,7212,4
921547536,5120,2
911566826,3256,1
919742356,3119,1
919742356,1349,3
919742356,2149,2
919742356,7233,4
919742356,3122,1
919742356,7411,20
919742356,1211,2
919742356,3257,1
919742356,3323,2
919742356,3116,3
919742356,1321,10
919742356,1324,1
919742356,8181,41
919742356,8131,16
919742356,8114,1
919742356,8142,11
919742356,2423,1
919742356,4311,3
919742356,2529,1
919742356,2144,1
919742356,1114,1
922250200,3322,1
979420773,3114,1
979420773,0,1
984216572,2511,1
983767400,3122,2
983767400,3114,2
983767400,1321,1
983767400,2512,2
983767400,2152,3
983767400,2511,5
996043614,7115,2
998156025,7115,4
914307635,1212,1
914307635,2431,4
914307635,2433,2
914307635,3322,2
988389846,2519,2
988389846,3511,2
988389846,4222,1
988389846,1330,1
988389846,2511,2
992245417,4110,1
992245417,1221,1
912187691,3423,1
999203345,4224,1
999203345,4110,1
982585325,4226,1
917867119,1120,3
917867119,2359,1
917867119,5169,1
917867119,5311,2
917867119,5223,2
917867119,2264,1
917867119,4224,15
917867119,1411,1
917867119,3514,1
917867119,4416,1
917867119,4311,1
917867119,9112,17
917867119,5151,3
917867119,4226,3
917867119,3322,2
917867119,3423,21
917867119,1431,1
917867119,3422,31
916769954,3522,1
820940202,7115,5
943838240,1219,1
943838240,1349,1
943838240,2359,7
943838240,5311,3
943838240,2422,2
943838240,2432,1
943838240,4110,1
943838240,3412,1
943838240,2421,5
943838240,3143,1
943838240,2522,1
943838240,1114,22
986042032,3322,1
897757222,2423,3
897757222,2431,1
897757222,3322,2
997304446,5223,2
979584296,3322,1
997649117,1219,1
997649117,1349,1
997649117,2412,1
997649117,5246,21
997649117,4224,16
997649117,9412,2
997649117,5120,22
997649117,2423,1
997649117,4416,1
997649117,9112,14
997649117,5151,2
997649117,4226,1
997649117,1412,1
997649117,2411,1
997649117,1221,1
997649117,3434,3
917719993,1219,1
917719993,1439,2
917719993,1349,2
917719993,5223,2
917719993,9412,2
917719993,5120,4
917719993,4110,2
917719993,4311,1
917719993,9510,1
917719993,9112,272
917719993,9111,1
917719993,5151,63
917719993,9611,1
917719993,1221,1
917719993,3322,2
917719993,5131,1
819702802,1349,1
819702802,5132,1
819702802,4224,1
819702802,9412,3
819702802,5120,2
819702802,4311,1
819702802,5151,1
819702802,3343,1
819702802,5153,1
897392232,1120,1
897392232,1219,1
897392232,1349,1
897392232,8322,2
897392232,2413,1
897392232,4110,1
897392232,3313,2
897392232,4311,2
897392232,9112,4
897392232,9111,1
897392232,5151,1
897392232,1412,2
897392232,3322,1
897392232,5131,1
897392232,3434,1
990035946,1349,2
990035946,5132,1
990035946,5223,11
990035946,3112,1
990035946,3511,1
990035946,7411,10
990035946,3113,1
990035946,1211,1
990035946,2413,1
990035946,5246,1
990035946,3116,8
990035946,9412,2
990035946,5120,18
990035946,3332,1
