yrke,yrkeskode
Barnehage- og skolefritidsassistenter mv.,5311
Førskolelærere,2342
Sentralbordoperatører,4223
Andre ledere av produksjon og tjenesteyting,1349
Grafiske og multimediadesignere,2166
Interiørdesignere og dekoratører,3432
Internett-teknikere,3514
Salgskonsulenter innen tekniske og medisinske produkter,2433
Systemanalytikere/-arkitekter,2511
Trykkere,7322
Tømrere og snekkere,7115
Administrerende direktører,1120
Dataregistrerere,4132
Forfattere mv.,2641
Selgere (engros),3322
Lastebil- og trailersjåfører,8332
Elektrikere,7411
Salgs- og markedssjefer,1221
Vaktmestere,5153
"Arbeidsleder, industri",3122
Bilmekanikere,7231
Bilvaskere,9122
Butikkmedarbeidere,5223
Logistikkmedarbeidere,4322
Maskiningeniører,3115
Regnskapsførere,3313
Regnskapsmedarbeidere,4311
Tekniske tegnere,3118
Jurister og advokater,2611
Ledere av omsorgstjenester for barn,1341
Brannkonstabler,5411
Gulv- og flisleggere,7122
Revisorer og regnskapsrådgivere,2411
Reklame- og markedsføringsrådgivere,2431
Telefon- og nettselgere,5244
Ledere av IKT-enheter,1330
Uoppgitt eller yrker som ikke kan identifiseres,0
Sjefssekretærer,3343
Frisører,5141
Servitører,5131
Rørleggere og VVS-montører,7126
"Matematikere, statistikere mv.",2120
"Driftsteknikere, IKT",3511
"Nettverks- og systemteknikere, IKT",3513
Hotellsjefer,1411
Miljøarbeidere innen sosiale fagfelt,3412
Renholdere i bedrifter,9112
Anleggsmaskin- og industrimekanikere,7233
Riggere og spleisere,7215
Andre bygningsarbeidere,7119
"Arbeidsleder, bygg og anlegg",3123
Bygningsingeniører,3112
Lagermedarbeidere og materialforvaltere,4321
Ledere av bygge- og anleggsvirksomhet,1323
Sivilingeniører (bygg og anlegg),2142
Tele- og IKT-installatører,7422
Elkraftingeniører,3113
Gartnere,6113
Anleggsmaskinførere,8342
Kundesentermedarbeidere,4222
Varehandelssjefer,1420
Allmennpraktiserende leger,2211
Helsesekretærer,3256
Malere og byggtapetserere,7131
Ledere av logistikk og transport mv.,1324
PR- og informasjonssjefer,1222
Trenere og idrettsdommere,3422
Andre pleiemedarbeidere,5329
Sveisere,7212
Kokker,5120
Andre ingeniører,3119
Andre sivilingeniører( unntatt elektroteknologi),2149
Finans- og økonomisjefer,1211
Helse og miljøkontrollører,3257
Innkjøpere,3323
Kjemiingeniører,3116
Ledere av industriproduksjon mv.,1321
Operatører innen glass- og keramisk produksjon,8181
Operatører innen kjemisk industri,8131
Operatører innen produksjon av betong mv,8114
Operatører innen produksjon av plastprodukter,8142
Personal- og karriererådgivere,2423
Sikkerhetsanalytikere mv.,2529
Sivilingeniører (maskin- og marinteknikk),2144
Toppledere i interesseorganisasjoner,1114
Elektronikkingeniører,3114
Programvareutviklere,2512
Sivilingeniører (elektronikk),2152
Personalsjefer,1212
Andre programvare- og applikasjonsutviklere,2519
Kontormedarbeidere,4110
Sports- og aktivitetsinstruktører,3423
Hotellresepsjonister,4224
Resepsjonister (ekskl. hotell),4226
Andre lærere,2359
Andre personlige tjenesteytere,5169
Fysioterapeuter,2264
Personalkontormedarbeidere,4416
Renholdsledere i bedrifter,5151
"Sports-, rekreasjons- og kultursenterledere",1431
Teknikere innen telekommunikasjon,3522
Andre administrative ledere,1219
Høyere saksbehandlere i offentlig og privat virksomhet,2422
Informasjonsrådgivere,2432
Organisasjonsrådgivere,2421
Skogteknikere,3143
Systemadministratorer,2522
Finans- og investeringsrådgivere,2412
Gatekjøkken- og kafémedarbeidere mv.,5246
Kjøkkenassistenter,9412
Restaurantsjefer,1412
Sjefskokker,3434
Andre daglige ledere i tjenesteytende virksomheter,1439
Reklamedistributører mv.,9510
Renholdere i private hjem,9111
Renovasjonsarbeidere,9611
Bartendere,5132
"Bil-, drosje- og varebilførere",8322
Finansanalytikere,2413
Konferanse- og arrangementsplanleggere,3332
Nett- og multimediautviklere,2513
"Ingeniører innen petroleum, bergverk og metallurgi",3117
Ledere av olje- og gassutvinning mv,1322
"Rådgivere/forskere, samfunnsøkonomi",2631
Tannpleier,3251
Arbeidsformidlere,3333
Automatikere,7412
Metalldreiere mv.,7223
Sivilarkitekter,2161
Sivilingeniører (elkraftteknikk),2151
"Sivilingeniører (geofag, petroleums-teknologi, metallurgi mv.)",2146
"Verktøymakere, låsesmeder mv.",7222
Hjelpearbeidere i anlegg,9312
Renseri- og vaskerimaskinoperatører,8157
Overflatebehandlere og lakkerere,7132
Laste- og lossearbeidere,9333
Betongarbeidere,7114
"Ledere innen skogbruk, gartnerier mv.",1311
Steinhoggere,7113
"Oversettere, tolker mv",2643
Forsikringsagenter,3321
"Brukerstøttere, IKT",3512
Sivilingeniører (industri og produksjon),2141
Lønningsmedarbeidere,4313
Andre helseyrker,3259
Rådgivere innen sosiale fagfelt,2635
Energimontører,7413
Glassarbeidere,7125
Hjelpearbeidere i bygg,9313
Isolatører mv.,7124
Kopper- og blikkenslagere,7213
Kran- og heisførere,8343
Kuldemontører mv.,7127
Murere,7112
Platearbeidere,7214
Taktekkere,7121
Dyrepleier,3240
"Slaktere, fiskehandlere mv",7511
Andre håndverkere,7549
Journalister,2642
Dekksoffiserer og loser,3152
Geologer og geofysikere,2114
Kontrolloperatører ved olje- og naturgassraffineringsanlegg,3134
Sykepleiere,2223
Forsknings- og utviklingsledere,1223
Operatører innen næringsmiddelproduksjon,8160
Butikkavdelingssjefer,5222
Bud mv.,9621
"Kundebehandlere, bank og postkontor",4211
Arealplanleggere,2164
Grunnskolelærere,2341
Spesialister i pedagogikk,2351
Yrkesfaglærere,2320
Ernæringsfysiologer,2265
Saksbehandlere innen sosiale ytelser,3353
Spesialsykepleiere,2221
Ledere av utdanning og undervisning,1345
Andre salgsmedarbeidere,5249
Andre musikklærere,2354
Andre språklærere,2353
Skoleassistenter,5312
Spesiallærere/spesialpedagoger,2352
Arkivarer og kuratorer,2621
Industrisyere,8153
Andre yrker innen offentlig forvaltning,3359
Arbeidsledere for kontorpersonell,3341
Intervjuere,4227
Operatører innen metallurgiske prosessfag,8121
"Bakere, konditorer mv.",7512
Montører av mekaniske produkter,8211
Helsefagarbeidere,5321
Førtrykkere,7321
Finansmeglere,3311
Operatører innen treforedling,8171
Bussjåfører og trikkeførere,8331
Ledere av helsetjenester,1342
Truckførere,8344
Vektere,5414
Havbruksarbeidere,6221
Yrkesdykkere,7541
Skipsmaskinister,3151
Begravelsesbyrå- og krematoriemedarbeidere,5163
Speditører og befraktere,3331
Jordbruks- skogbruksmaskinførere,8341
Skogbrukere,6210
Kundebehandlere lån og kreditt,3312
Altmuligmann,9622
Vinduspussere,9123
Applikasjonsprogrammerere,2514
