orgnr_frtk,nkode1,ansatte_antall,navn,naerk_tekst
994151010,88.911,14.0,0 - 6 ULLENSAKERGATA BARNEHAGE AS,Barnehager
999286976,88.911,18.0,0 - 6 VÅLERENGGATA BARNEHAGE AS,Barnehager
918837221,52.214,14.0,0-TAXI ASKER OG BÆRUM AS,Drift av taxisentraler og annen formidling av persontransport
919996013,18.120,182.0,07 MEDIA AS,Trykking ellers
913193911,18.120,61.0,07 MEDIA SØR AS,Trykking ellers
991516891,49.410,1.0,1 2 3 LØFT AS,Godstransport på vei
996706508,81.101,38.0,1 HJELPENDE HÅND AS,Vaktmestertjenester
912595625,88.991,19.0,1 PLUSS 1 BO OG OMSORGSBASER AS,Barneverntjenester
991937099,69.201,9.0,1+1 REGNSKAP AS,Regnskap og bokføring
980292738,16.231,51.0,1-2 TRE ELEMENTPRODUKSJON AS,Produksjon av monteringsferdige hus
998581311,69.100,6.0,1-2-3 ADVOKATEN AS,Juridisk tjenesteyting
999529852,69.201,2.0,1-2-3 REGNSKAP AS,Regnskap og bokføring
917994714,88.911,18.0,100 METERSKOGEN BARNEHAGE AS,Barnehager
990702438,88.911,24.0,100-METERSKOGEN BARNEHAGE AS,Barnehager
978609996,84.250,17.0,110-SENTRALEN FOR FINNMARK,Brannvern
913067061,43.990,18.0,123 BAD AS,Annen spesialisert bygge- og anleggsvirksomhet
917104379,41.200,9.0,123 BYGG MINDE AS,Oppføring av bygninger
998214637,68.209,4.0,123 MINILAGER AS,Utleie av egen eller leid fast eiendom ellers
911593564,41.200,20.0,123TAK AS,Oppføring av bygninger
914597919,45.200,5.0,13 BILSERVICE AS,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler"
987428317,63.120,77.0,180.NO NUMMEROPPLYSNINGEN AS,Drift av web-portaler
976491351,82.201,43.0,1880 NUMMEROPPLYSNING AS,Telefonvakttjenester
913556194,71.121,6.0,1DIAMOND AS,Byggeteknisk konsulentvirksomhet
992408766,96.020,5.0,2 FRISØRER AS,Frisering og annen skjønnhetspleie
920941168,56.101,2.0,2 KNOP AS,Drift av restauranter og kafeer
992467061,71.129,11.0,2 NS VVS-PROSJEKTERING AS,Annen teknisk konsulentvirksomhet
912237664,71.129,16.0,2 PARK TECHNOLOGIES AS,Annen teknisk konsulentvirksomhet
913168038,69.201,3.0,247REGNSKAP AS,Regnskap og bokføring
911801663,62.010,7.0,24ONOFF AS,Programmeringstjenester
995251094,58.290,89.0,24SEVENOFFICE LABS AS,Utgivelse av annen programvare
999577547,79.903,18.0,29-2 AURLAND AS,"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet"
898304302,88.991,9.0,2A-HEIMEN AS,Barneverntjenester
987704918,81.210,205.0,2CLEAN AS,Rengjøring av bygninger
983569285,90.012,87.0,2ENTERTAIN NORGE AS,Utøvende kunstnere og underholdningsvirksomhet innen scenekunst
995672197,81.210,24.0,2RVE AS,Rengjøring av bygninger
918488081,71.129,12.0,2STABILISE AS,Annen teknisk konsulentvirksomhet
955497643,43.320,27.0,2TAL AS,Snekkerarbeid
985233632,43.210,15.0,2TAL ELEKTRO AS,Elektrisk installasjonsarbeid
919871466,43.120,44.0,2TAL UTEMILJØ ANLEGGSGARTNER AS,Grunnarbeid
986463828,81.300,3.0,2TAL UTEMILJØ AS,Beplantning av hager og parkanlegg
820210042,46.494,23.0,2XU NORDICS AS,Engroshandel med sportsutstyr
990993718,81.300,16.0,3 KLØVER AS,Beplantning av hager og parkanlegg
993231223,86.211,4.0,3 LEGER DA,Allmenn legetjeneste
912593339,41.200,9.0,3 MALERE AS,Oppføring av bygninger
918321659,47.593,23.0,3 N LOGISTICS AS,"Butikkhandel med kjøkkenutstyr, glass og steintøy"
912686310,74.101,9.0,3 NORSKE DESIGN GROUP AS,"Industridesign, produktdesign og annen teknisk designvirksomhet"
878703812,77.330,26.0,3 STEP IT AS,Utleie og leasing av kontor- og datamaskiner
981580435,93.130,51.0,3 T PIRBADET AS,Treningssentre
979193734,93.130,138.0,3 T ROSTEN AS,Treningssentre
978658814,93.130,32.0,3 T STEINKJER AS,Treningssentre
986591060,86.230,1.0,3 TANNLEGER DA,Tannhelsetjenester
975339793,25.620,17.0,3 TS INDUSTRISERVICE AS,Bearbeiding av metaller
921547536,56.101,13.0,3475 SERVERING AS,Drift av restauranter og kafeer
911566826,86.909,4.0,360 GRADER KIROPRAKTOR AS,Andre helsetjenester
919742356,23.140,321.0,3B-FIBREGLASS NORWAY AS,Produksjon av glassfibrer
922250200,46.660,12.0,3C TECHNOLOGY AS,Engroshandel med maskiner og utstyr til kontor ellers
